invoice_no,stock_code,description,quantity,invoice_date,unit_price,customer_id,country,revenue,month
566345,22991,GIRAFFE WOODEN RULER,5,12/09/2011,1.95,17685,United Kingdom,9.75,September
546875,22120,WELCOME WOODEN BLOCK LETTERS,6,17/03/2011,9.95,12514,Italy,59.7,March
581376,23307,SET OF 60 PANTRY DESIGN CAKE CASES,6,8/12/2011,0.55,14719,United Kingdom,3.3,December
542003,21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB,6,25/01/2011,1.25,15311,United Kingdom,7.5,January
581149,23154,SET OF 4 JAM JAR MAGNETS,3,7/12/2011,2.08,15471,United Kingdom,6.24,December
544701,22652,TRAVEL SEWING KIT,10,23/02/2011,1.65,17428,United Kingdom,16.5,February
544460,21875,KINGS CHOICE MUG,3,20/02/2011,1.25,16931,United Kingdom,3.75,February
575850,84946,ANTIQUE SILVER T-LIGHT GLASS,72,11/11/2011,1.06,17512,United Kingdom,76.32,November
575323,22302,COFFEE MUG PEARS DESIGN,6,9/11/2011,2.55,15392,United Kingdom,15.3,November
548714,22976,CIRCUS PARADE CHILDRENS EGG CUP,8,3/04/2011,1.25,17337,United Kingdom,10,April
550196,35920,FOUR RABBIT EASTER DECORATIONS,2,15/04/2011,1.25,14796,United Kingdom,2.5,April
562608,22923,FRIDGE MAGNETS LES ENFANTS ASSORTED,24,8/08/2011,0.85,15502,United Kingdom,20.4,August
560888,23178,JAM CLOCK MAGNET,6,21/07/2011,2.89,15380,United Kingdom,17.34,July
576053,84992,72 SWEETHEART FAIRY CAKE CASES,5,13/11/2011,0.55,16726,United Kingdom,2.75,November
571292,22680,FRENCH BLUE METAL DOOR SIGN 5,2,16/10/2011,1.25,15311,United Kingdom,2.5,October
572847,22196,SMALL HEART MEASURING SPOONS,3,26/10/2011,0.85,14606,United Kingdom,2.55,October
551815,23283,DOORMAT VINTAGE LEAVES DESIGN,2,4/05/2011,7.95,18065,United Kingdom,15.9,May
553197,21905,MORE BUTTER METAL SIGN,1,15/05/2011,2.1,17263,United Kingdom,2.1,May
567288,22993,SET OF 4 PANTRY JELLY MOULDS,1,19/09/2011,1.25,16906,United Kingdom,1.25,September
552304,21982,PACK OF 12 SUKI TISSUES,12,8/05/2011,0.29,12748,United Kingdom,3.48,May
544055,21390,FILIGRIS HEART WITH BUTTERFLY,24,15/02/2011,1.25,14035,United Kingdom,30,February
565426,44234,ASSORTED CIRCULAR MOBILE,1,4/09/2011,0.21,12851,United Kingdom,0.21,September
569568,22637,PIGGY BANK RETROSPOT,4,5/10/2011,2.55,12700,France,10.2,October
567545,22077,6 RIBBONS RUSTIC CHARM,24,21/09/2011,1.95,13155,United Kingdom,46.8,September
580098,23084,RABBIT NIGHT LIGHT,6,1/12/2011,2.08,15373,United Kingdom,12.48,December
568394,47566,PARTY BUNTING,4,27/09/2011,4.95,13314,United Kingdom,19.8,September
569253,23177,TREASURE ISLAND BOOK BOX,8,3/10/2011,2.25,13635,United Kingdom,18,October
578901,21742,LARGE ROUND WICKER PLATTER,2,27/11/2011,5.95,17812,United Kingdom,11.9,November
555591,22676,FRENCH BLUE METAL DOOR SIGN 1,10,6/06/2011,1.25,15073,United Kingdom,12.5,June
570426,21499,BLUE POLKADOT WRAP,25,10/10/2011,0.42,13352,United Kingdom,10.5,October
552562,23171,REGENCY TEA PLATE GREEN,12,10/05/2011,1.65,17581,United Kingdom,19.8,May
556111,23170,REGENCY TEA PLATE ROSES,12,9/06/2011,1.65,13004,United Kingdom,19.8,June
562649,82580,BATHROOM METAL SIGN,3,8/08/2011,0.55,14606,United Kingdom,1.65,August
540866,21499,BLUE POLKADOT WRAP,25,12/01/2011,0.42,17324,United Kingdom,10.5,January
566959,22599,CHRISTMAS MUSICAL ZINC STAR,10,15/09/2011,0.85,17530,United Kingdom,8.5,September
566186,22617,BAKING SET SPACEBOY DESIGN,3,9/09/2011,4.95,16603,United Kingdom,14.85,September
549387,20725,LUNCH BAG RED RETROSPOT,20,8/04/2011,1.65,13178,United Kingdom,33,April
541655,84763,ZINC FINISH 15CM PLANTER POTS,3,20/01/2011,1.25,14779,United Kingdom,3.75,January
539579,21169,YOU'RE CONFUSING ME METAL SIGN,2,20/12/2010,1.69,16713,United Kingdom,3.38,December
550144,21086,SET/6 RED SPOTTY PAPER CUPS,6,14/04/2011,0.65,16520,United Kingdom,3.9,April
578548,23210,WHITE ROCKING HORSE HAND PAINTED,3,24/11/2011,1.25,17345,United Kingdom,3.75,November
538888,22136,LOVE HEART SOCK HANGER,4,14/12/2010,1.65,17912,United Kingdom,6.6,December
557962,22999,TRAVEL CARD WALLET RETRO PETALS,24,24/06/2011,0.42,13709,United Kingdom,10.08,June
555938,20725,LUNCH BAG RED RETROSPOT,10,8/06/2011,1.65,14257,United Kingdom,16.5,June
540420,84816,DANISH ROSE BEDSIDE CABINET,2,7/01/2011,39.95,12829,United Kingdom,79.9,January
573777,22553,PLASTERS IN TIN SKULLS,12,1/11/2011,1.65,13726,United Kingdom,19.8,November
551616,21244,BLUE POLKADOT PLATE,4,3/05/2011,1.69,15048,United Kingdom,6.76,May
569210,22283,6 EGG HOUSE PAINTED WOOD,2,2/10/2011,7.95,13681,United Kingdom,15.9,October
563931,22720,SET OF 3 CAKE TINS PANTRY DESIGN,3,21/08/2011,4.95,14895,United Kingdom,14.85,August
539610,22477,WATERING CAN GARDEN MARKER,2,20/12/2010,1.25,14606,United Kingdom,2.5,December
563110,23202,JUMBO BAG VINTAGE LEAF,10,12/08/2011,2.08,14849,United Kingdom,20.8,August
578016,23127,FELTCRAFT GIRL NICOLE KIT,2,22/11/2011,4.95,14506,United Kingdom,9.9,November
564962,23121,PACK OF 6 COCKTAIL PARASOL STRAWS,2,31/08/2011,0.42,17777,United Kingdom,0.84,August
551414,23182,TOILET SIGN OCCUPIED OR VACANT,24,28/04/2011,0.83,15622,United Kingdom,19.92,April
555936,22431,WATERING CAN BLUE ELEPHANT,6,8/06/2011,1.95,12567,France,11.7,June
579069,22622,BOX OF VINTAGE ALPHABET BLOCKS,2,28/11/2011,11.95,14911,EIRE,23.9,November
577855,84199,GLOW IN DARK DOLPHINS,1,22/11/2011,0.21,15877,United Kingdom,0.21,November
536859,21733,RED HANGING HEART T-LIGHT HOLDER,2,3/12/2010,2.95,12841,United Kingdom,5.9,December
574837,23207,LUNCH BAG ALPHABET DESIGN,10,7/11/2011,1.65,15785,United Kingdom,16.5,November
563213,23293,SET OF 12 FAIRY CAKE BAKING CASES,1,14/08/2011,0.83,16115,United Kingdom,0.83,August
551731,23230,WRAP ALPHABET DESIGN,25,4/05/2011,0.42,14307,United Kingdom,10.5,May
562984,22615,PACK OF 12 CIRCUS PARADE TISSUES,12,11/08/2011,0.29,17841,United Kingdom,3.48,August
553011,23284,DOORMAT KEEP CALM AND COME IN,4,12/05/2011,7.95,14390,United Kingdom,31.8,May
559542,84879,ASSORTED COLOUR BIRD ORNAMENT,16,10/07/2011,1.69,17126,United Kingdom,27.04,July
566849,22809,SET OF 6 T-LIGHTS SANTA,6,15/09/2011,2.95,16341,United Kingdom,17.7,September
568346,22713,CARD I LOVE LONDON,1,26/09/2011,0.83,14096,United Kingdom,0.83,September
547087,21121,SET/10 RED POLKADOT PARTY CANDLES,24,20/03/2011,1.25,12726,France,30,March
564747,22666,RECIPE BOX PANTRY YELLOW DESIGN,1,28/08/2011,2.95,14869,United Kingdom,2.95,August
538630,22077,6 RIBBONS RUSTIC CHARM,12,13/12/2010,1.65,14565,United Kingdom,19.8,December
558462,71143,SILVER BOOK MARK WITH BEADS,10,29/06/2011,0.85,13982,United Kingdom,8.5,June
558104,82600,NO SINGING METAL SIGN,4,26/06/2011,2.1,13668,United Kingdom,8.4,June
571231,82580,BATHROOM METAL SIGN,25,14/10/2011,0.55,15856,United Kingdom,13.75,October
548160,84879,ASSORTED COLOUR BIRD ORNAMENT,16,29/03/2011,1.69,16253,United Kingdom,27.04,March
574079,21636,MADRAS NOTEBOOK MEDIUM,2,2/11/2011,0.75,17595,United Kingdom,1.5,November
573868,21156,RETROSPOT CHILDRENS APRON,8,1/11/2011,1.95,12491,France,15.6,November
569715,22421,LIPSTICK PEN FUSCHIA,5,5/10/2011,0.42,15856,United Kingdom,2.1,October
572911,23090,VINTAGE GLASS T-LIGHT HOLDER,24,26/10/2011,0.83,16345,United Kingdom,19.92,October
577595,23221,REINDEER HEART DECORATION SILVER,1,20/11/2011,0.83,16399,United Kingdom,0.83,November
581122,20713,JUMBO BAG OWLS,10,7/12/2011,2.08,12839,United Kingdom,20.8,December
567517,82482,WOODEN PICTURE FRAME WHITE FINISH,6,20/09/2011,2.95,14211,United Kingdom,17.7,September
576076,21741,COSY SLIPPER SHOES LARGE GREEN,1,13/11/2011,2.95,14382,United Kingdom,2.95,November
578277,23502,PLAYING CARDS VINTAGE DOILY,15,23/11/2011,1.25,12723,France,18.75,November
567700,20712,JUMBO BAG WOODLAND ANIMALS,10,22/09/2011,2.08,16379,United Kingdom,20.8,September
577315,22642,SET OF 4 NAPKIN CHARMS STARS,8,18/11/2011,2.55,17811,United Kingdom,20.4,November
569225,22098,BOUDOIR SQUARE TISSUE BOX,4,2/10/2011,0.39,16930,United Kingdom,1.56,October
550313,21731,RED TOADSTOOL LED NIGHT LIGHT,24,17/04/2011,1.65,12681,France,39.6,April
571418,20726,LUNCH BAG WOODLAND,1,17/10/2011,1.65,16412,United Kingdom,1.65,October
566055,22580,ADVENT CALENDAR GINGHAM SACK,2,8/09/2011,5.95,15453,United Kingdom,11.9,September
547786,21974,SET OF 36 PAISLEY FLOWER DOILIES,3,25/03/2011,1.45,14587,United Kingdom,4.35,March
545559,22630,DOLLY GIRL LUNCH BOX,4,3/03/2011,1.95,15005,United Kingdom,7.8,March
549014,22595,GINGHAM HEART DECORATION,4,5/04/2011,0.85,17841,United Kingdom,3.4,April
555249,23284,DOORMAT KEEP CALM AND COME IN,1,1/06/2011,7.95,17472,United Kingdom,7.95,June
555850,22197,SMALL POPCORN HOLDER,15,7/06/2011,0.85,16550,United Kingdom,12.75,June
577106,22867,HAND WARMER BIRD DESIGN,1,17/11/2011,2.1,14456,United Kingdom,2.1,November
571212,22457,NATURAL SLATE HEART CHALKBOARD,1,14/10/2011,2.95,12856,United Kingdom,2.95,October
570791,23247,BISCUIT TIN 50'S CHRISTMAS,1,12/10/2011,2.89,17346,United Kingdom,2.89,October
581150,22786,CUSHION COVER PINK UNION JACK,2,7/12/2011,1.25,17266,United Kingdom,2.5,December
565565,22128,PARTY CONES CANDY ASSORTED,12,5/09/2011,1.25,14534,United Kingdom,15,September
579399,23344,JUMBO BAG 50'S CHRISTMAS,5,29/11/2011,2.08,13137,United Kingdom,10.4,November
551849,85150,LADIES & GENTLEMEN METAL SIGN,6,4/05/2011,2.55,16258,United Kingdom,15.3,May
570593,22577,WOODEN HEART CHRISTMAS SCANDINAVIAN,48,11/10/2011,0.29,18180,United Kingdom,13.92,October
559948,21294,ETCHED GLASS COASTER,48,14/07/2011,0.39,12653,Israel,18.72,July
577109,23007,SPACEBOY BABY GIFT SET,1,17/11/2011,16.95,16042,United Kingdom,16.95,November
572192,23354,6 GIFT TAGS 50'S CHRISTMAS,1,21/10/2011,0.83,18118,United Kingdom,0.83,October
578935,23333,IVORY WICKER HEART MEDIUM,1,27/11/2011,1.25,15351,United Kingdom,1.25,November
557884,22105,MIRROR MOSAIC GOBLET CANDLE HOLDER,4,23/06/2011,4.25,17759,United Kingdom,17,June
563438,22561,WOODEN SCHOOL COLOURING SET,24,16/08/2011,1.65,13743,United Kingdom,39.6,August
572192,20969,RED FLORAL FELTCRAFT SHOULDER BAG,1,21/10/2011,3.75,18118,United Kingdom,3.75,October
577337,23496,PANTRY KITCHEN THERMOMETER,1,18/11/2011,1.25,15494,United Kingdom,1.25,November
569129,22630,DOLLY GIRL LUNCH BOX,2,30/09/2011,1.95,15034,United Kingdom,3.9,September
549560,22920,HERB MARKER BASIL,1,10/04/2011,0.65,15058,United Kingdom,0.65,April
547658,20719,WOODLAND CHARLOTTE BAG,3,24/03/2011,0.85,13736,United Kingdom,2.55,March
554080,22560,TRADITIONAL MODELLING CLAY,6,22/05/2011,1.25,16931,United Kingdom,7.5,May
576246,23300,GARDENERS KNEELING PAD CUP OF TEA,1,14/11/2011,1.65,17566,United Kingdom,1.65,November
567099,22672,FRENCH BATHROOM SIGN BLUE METAL,2,16/09/2011,1.65,15311,United Kingdom,3.3,September
556425,20719,WOODLAND CHARLOTTE BAG,6,10/06/2011,0.85,14178,United Kingdom,5.1,June
577475,22132,RED LOVE HEART SHAPE CUP,12,20/11/2011,0.85,15152,United Kingdom,10.2,November
547652,21445,12 PINK ROSE PEG PLACE SETTINGS,96,24/03/2011,1.25,14606,United Kingdom,120,March
538069,22809,SET OF 6 T-LIGHTS SANTA,1,9/12/2010,2.95,16795,United Kingdom,2.95,December
573904,23423,PANTRY 3 HOOK ROLLING PIN HANGER,2,1/11/2011,3.75,14505,United Kingdom,7.5,November
542080,21578,WOODLAND DESIGN COTTON TOTE BAG,6,25/01/2011,2.25,13815,Germany,13.5,January
547416,84678,CLASSICAL ROSE SMALL VASE,6,23/03/2011,2.55,15410,United Kingdom,15.3,March
574960,48188,DOORMAT WELCOME PUPPIES,2,8/11/2011,8.25,17091,United Kingdom,16.5,November
580127,21914,BLUE HARMONICA IN BOX,12,1/12/2011,1.25,14911,EIRE,15,December
559881,23317,BLUE REFECTORY CLOCK,1,13/07/2011,9.95,16899,United Kingdom,9.95,July
553831,22784,LANTERN CREAM GAZEBO,3,19/05/2011,4.95,14442,Channel Islands,14.85,May
537392,22694,WICKER STAR,3,6/12/2010,2.1,17068,United Kingdom,6.3,December
577324,16238,PARTY TIME PENCIL ERASERS,28,18/11/2011,0.21,16463,United Kingdom,5.88,November
565478,20725,LUNCH BAG RED RETROSPOT,2,5/09/2011,1.65,15005,United Kingdom,3.3,September
537034,22466,FAIRY TALE COTTAGE NIGHTLIGHT,12,3/12/2010,1.95,13081,United Kingdom,23.4,December
540180,22163,HEART STRING MEMO HOLDER HANGING,1,5/01/2011,2.95,15984,United Kingdom,2.95,January
536408,22533,MAGIC DRAWING SLATE BAKE A CAKE,24,1/12/2010,0.42,14307,United Kingdom,10.08,December
564189,22819,"BIRTHDAY CARD, RETRO SPOT",12,23/08/2011,0.42,14769,United Kingdom,5.04,August
568472,22379,RECYCLING BAG RETROSPOT,10,27/09/2011,2.1,12517,Germany,21,September
538368,22466,FAIRY TALE COTTAGE NIGHTLIGHT,1,12/12/2010,1.95,15503,United Kingdom,1.95,December
571441,22809,SET OF 6 T-LIGHTS SANTA,1,17/10/2011,5.79,14096,United Kingdom,5.79,October
564660,23201,JUMBO BAG ALPHABET,10,26/08/2011,2.08,15074,United Kingdom,20.8,August
551152,22998,TRAVEL CARD WALLET KEEP CALM,24,26/04/2011,0.42,13230,United Kingdom,10.08,April
566123,22423,REGENCY CAKESTAND 3 TIER,2,9/09/2011,12.75,15039,United Kingdom,25.5,September
567656,21147,JINGLE BELLS TREE DECORATION,2,21/09/2011,2.46,14096,United Kingdom,4.92,September
546189,22193,RED DINER WALL CLOCK,2,10/03/2011,8.5,13102,United Kingdom,17,March
576607,22027,TEA PARTY BIRTHDAY CARD,12,15/11/2011,0.42,12474,Germany,5.04,November
563858,23322,LARGE WHITE HEART OF WICKER,6,19/08/2011,2.95,18170,United Kingdom,17.7,August
539324,22536,MAGIC DRAWING SLATE PURDEY,2,16/12/2010,0.42,14985,United Kingdom,0.84,December
547654,22685,FRENCH BLUE METAL DOOR SIGN 0,1,24/03/2011,1.25,14527,United Kingdom,1.25,March
553210,21713,CITRONELLA CANDLE FLOWERPOT,8,16/05/2011,2.1,14016,EIRE,16.8,May
561601,20727,LUNCH BAG BLACK SKULL.,10,28/07/2011,1.65,18151,United Kingdom,16.5,July
572127,22642,SET OF 4 NAPKIN CHARMS STARS,6,21/10/2011,2.55,14911,EIRE,15.3,October
570693,20977,36 PENCILS TUBE WOODLAND,4,11/10/2011,1.25,16161,United Kingdom,5,October
561658,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,1,28/07/2011,2.08,12743,Unspecified,2.08,July
565915,22553,PLASTERS IN TIN SKULLS,4,7/09/2011,1.65,15752,United Kingdom,6.6,September
578088,22068,BLACK PIRATE TREASURE CHEST,2,22/11/2011,1.65,16376,United Kingdom,3.3,November
563355,20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,6,15/08/2011,3.25,14156,EIRE,19.5,August
544568,22964,3 PIECE SPACEBOY COOKIE CUTTER SET,6,21/02/2011,2.1,15065,United Kingdom,12.6,February
550350,22978,PANTRY ROLLING PIN,6,18/04/2011,3.75,15491,United Kingdom,22.5,April
546498,22913,RED COAT RACK PARIS FASHION,1,14/03/2011,4.95,15493,United Kingdom,4.95,March
554083,21907,I'M ON HOLIDAY METAL SIGN,3,22/05/2011,2.1,18125,United Kingdom,6.3,May
576593,21992,VINTAGE PAISLEY STATIONERY SET,1,15/11/2011,1.25,15720,United Kingdom,1.25,November
567104,22990,COTTON APRON PANTRY DESIGN,2,16/09/2011,4.95,15975,United Kingdom,9.9,September
537865,21494,ROTATING LEAVES T-LIGHT HOLDER,10,8/12/2010,1.25,16011,United Kingdom,12.5,December
571676,23321,SMALL WHITE HEART OF WICKER,3,18/10/2011,1.65,16910,United Kingdom,4.95,October
548169,22327,ROUND SNACK BOXES SET OF 4 SKULLS,10,29/03/2011,2.95,14680,United Kingdom,29.5,March
572887,21787,RAIN PONCHO RETROSPOT,24,26/10/2011,0.85,12362,Belgium,20.4,October
573777,22398,MAGNETS PACK OF 4 SWALLOWS,12,1/11/2011,0.39,13726,United Kingdom,4.68,November
550131,22722,SET OF 6 SPICE TINS PANTRY DESIGN,4,14/04/2011,3.95,15935,United Kingdom,15.8,April
578019,21623,VINTAGE UNION JACK MEMOBOARD,1,22/11/2011,9.95,17360,United Kingdom,9.95,November
568060,20726,LUNCH BAG WOODLAND,1,23/09/2011,1.65,14546,United Kingdom,1.65,September
547651,21248,DOOR HANGER MUM + DADS ROOM,1,24/03/2011,1.45,16904,United Kingdom,1.45,March
566286,23345,DOLLY GIRL BEAKER,24,11/09/2011,1.25,14057,United Kingdom,30,September
547705,22722,SET OF 6 SPICE TINS PANTRY DESIGN,1,24/03/2011,3.95,14056,United Kingdom,3.95,March
538248,84991,60 TEATIME FAIRY CAKE CASES,2,10/12/2010,0.55,18116,United Kingdom,1.1,December
562452,23291,DOLLY GIRL CHILDRENS CUP,16,5/08/2011,1.25,16302,United Kingdom,20,August
536409,22198,LARGE POPCORN HOLDER,1,1/12/2010,1.65,17908,United Kingdom,1.65,December
566426,22689,DOORMAT MERRY CHRISTMAS RED,2,12/09/2011,8.25,17865,United Kingdom,16.5,September
554355,21272,SALLE DE BAIN HOOK,12,24/05/2011,1.25,16992,United Kingdom,15,May
571105,22312,OFFICE MUG WARMER POLKADOT,2,13/10/2011,2.95,17614,United Kingdom,5.9,October
